CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,010,0001,1307,020
09,010,0001,1129,011
09,015,0001,0803,008
09,010,0001,0987,024
09,012,0001,1388,046
09,015,0001,1017,024
09,003,0001,1798,022
09,016,0001,0302,003
09,005,0001,1256,012
09,010,0001,1542,042
09,016,0001,0656,017
09,002,0001,0472,013
09,017,0001,1007,006
09,002,0001,0580,018
09,015,0001,0748,026
09,014,0001,0026,021
09,017,0001,0140,001
09,015,0001,0748,013
09,012,0001,0182,002
09,014,0001,0897,012
09,010,0001,1129,011
09,004,0001,0369,004
09,015,0001,0682,011
09,015,0001,0428,009
09,015,0001,049A,001
09,015,0001,0748,009
09,016,0001,0482,012
09,015,0001,0540,010
09,015,0001,0127,015
09,015,0001,017A,021
09,015,0001,0150,003
09,015,0001,0748,015
09,015,0001,0540,012
09,015,0001,1445,010
09,015,0001,1430,008
09,014,0001,0844,012
09,014,0001,0882,009
09,014,0001,0897,019
09,014,0001,0882,014
09,015,0001,1163,007
09,014,0001,0717,032
09,014,0001,0793,019
09,014,0001,0736,006
09,015,0001,1356,010
09,014,0001,1024,020
09,015,0001,0061,012
09,015,0001,0998,005
09,015,0001,0945,001
09,015,0001,0945,018
09,015,0001,095A,014
09,015,0001,1093,010
09,015,0001,1055,017
09,015,0001,088A,013
09,015,0001,0771,005
09,015,0001,0790,015
09,016,0001,0675,010
09,016,0001,0482,012
09,017,0001,1399,001
09,017,0001,1134,003
09,017,0001,1312,002
09,016,0001,1175,007
09,017,0001,0583,001
09,017,0001,0047,042
09,017,0001,0780,023
09,017,0001,0920,001
09,017,0001,0920,001
09,016,0001,0514,001
09,017,0001,0013,004
09,016,0001,0478,007
09,016,0001,0514,001
09,016,0001,0478,003
09,016,0001,0764,001
09,016,0001,068A,009
09,016,0001,068A,026
09,016,0001,0675,010
09,016,0001,0478,003
09,016,0001,0730,011
09,016,0001,1029,017
09,016,0001,0995,020
09,015,0001,1178,007
09,015,0001,145A,015
09,016,0001,0054,007
09,015,0001,1534,012
09,016,0001,0834,002
09,016,0001,1245,001
09,016,0001,1245,001
09,016,0001,1283,005
09,016,0001,0849,003
09,012,0001,0981,016
09,016,0001,0637,006
09,003,0001,1124,005
09,010,0001,0031,021
09,016,0001,0660,002
09,005,0001,1307,036
09,016,0001,0533,001
09,016,0001,0571,014
09,016,0001,0779,016
09,010,0001,1542,049
09,010,0001,1542,049
09,010,0001,1379,060
09,003,0001,0268,017
09,010,0001,0031,022
09,014,0001,0793,021
09,016,0001,0444,013
09,010,0001,1129,011
09,010,0001,0421,004
09,014,0001,0223,008
09,016,0001,0603,010
09,016,0001,0603,020
09,014,0001,0806,009
09,014,0001,0774,033
09,014,0001,0651,019
09,015,0001,1125,018
09,015,0001,1163,007
09,015,0001,0926,019
09,015,0001,0964,004
09,014,0001,0810,011
09,015,0001,0856,003
