ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
518,CENTRO Y PLAZA COMERCIAL,Centro Comercial Patio Pedregal,Boulevard Adolfo Rucz Cortines,527,Desconocido,Pedregal de Carrasco,4530,Desconocido,Coyoacán,518
519,CENTRO Y PLAZA COMERCIAL,PATIO PEDREGAL,BOULEVARD ADOLFO RUIZ CORTINES,5270,Desconocido,PEDREGAL DE CARRASCO,4700,Desconocido,Coyoacán,519
520,CENTRO Y PLAZA COMERCIAL,GRAN SUR,Gran Sur,5550,Desconocido,PEDREGAL DE CARRASCO,4700,Desconocido,Coyoacán,520
521,CENTRO Y PLAZA COMERCIAL,PLAZA FUENTES,CALZADA DEL HUESO,160,Desconocido,EJIDO SANTA URSULA COAPA,4850,Desconocido,Coyoacán,521
522,CENTRO Y PLAZA COMERCIAL,PLAZA AMERICA,BENITO JUAREZ,117,Desconocido,EX HACIENDA COAPA,4850,Desconocido,Coyoacán,522
523,CENTRO Y PLAZA COMERCIAL,PLAZA GIRASOLES,CALZADA DEL HUESO,453,Desconocido,RANCHO GUADALUPE,4920,Desconocido,Coyoacán,523
524,CENTRO Y PLAZA COMERCIAL,PLAZA FIESTA COAPA,RANCHO GUADALUPE,503,Desconocido,GIRASOLES III,4920,Desconocido,Coyoacán,524
525,CENTRO Y PLAZA COMERCIAL,PLAZA LOS LAURELES,3 ORIENTE (AVENIDA CAFETALES),1802,Desconocido,HACIENDA DE COYOACAN,4970,Desconocido,Coyoacán,525
526,CENTRO Y PLAZA COMERCIAL,EL TREBOL,3 ORIENTE (AVENIDA CAFETALES),1792,Desconocido,HACIENDA DE COYOACAN,4970,Desconocido,Coyoacán,526
527,CENTRO Y PLAZA COMERCIAL,PLAZA BOMBAS 835,CALZADA DE LAS BOMBAS,835,Desconocido,CAFETALES II,4930,Desconocido,Coyoacán,527
528,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,CALZADA DE LAS BOMBAS,756,Desconocido,CAFETALES,4918,Desconocido,Coyoacán,528
529,CENTRO Y PLAZA COMERCIAL,PLAZA LOS ARCOS,3 ORIENTE (AVENIDA ARMADA DE MEXICO),1464,Desconocido,RESIDENCIAL CAFETALES,4918,Desconocido,Coyoacán,529
530,CENTRO Y PLAZA COMERCIAL,PLAZA DEL SUR,3 ORIENTE (AVENIDA ARMADA DE MEXICO),1450,Desconocido,CAFETALES,4918,Desconocido,Coyoacán,530
