ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
1,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,2105,Desconocido,Sn. Angel,1000,Desconocido,Álvaro Obregón,1
2,TIENDAS DEPARTAMENTALES,Electra,Dr. Galvez,31,Esq. Revolución,Sn. Angel,1000,Desconocido,Álvaro Obregón,2
3,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Camino Desierto de los Leones,52,Esq. Revolución,Sn. Angel,1000,Desconocido,Álvaro Obregón,3
4,PLAZAS COMERCIALES,Desconocido,Insugentes Sur,1971,Entre Río Sn. Angel y Fernando Villapando,Guadalupe Inn.,1020,Desconocido,Álvaro Obregón,4
5,CENTRO COMERCIAL,CENTRO COMERCIAL EL RELOX,Insurjentes Sur,2374,Entre Privada Relox y Loreto,Ermita,1070,Desconocido,Álvaro Obregón,5
6,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Revolución,S/N,Esq. Río Magdalena,Ermita,1070,Desconocido,Álvaro Obregón,6
7,TIENDAS DE AUTOSERVICIO,SAMS CLUB,Periférico Sur,630,Entre Luis Cabrera y Sn. Jerónimo,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,7
8,TIENDAS DE AUTOSERVICIO,"PRICE CLUB DE MÉXICO, S.A. DE C.V.",Blvr. Adolfo López Mateos,1181,Entre Sn. Antonio y Calle 10,Sn. Pedro de los Pinos,1180,Desconocido,Álvaro Obregón,8
9,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Camino a Sta. Fé,644,Entre la Unidad Habitacional Boscoso y  la Unidad Habitacional Real del Bosque,El Cuernito,1220,Desconocido,Álvaro Obregón,9
10,TIENDAS DE AUTOSERVICIO,HOME  MART,Av. Central,175,Esq. Sta. Lucia,Alfonso Xlll,1460,Desconocido,Álvaro Obregón,10
11,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Blvr. Adolfo López Mateos,1702,Esq. Rosa de Bengala,Lomas de Plateros,1480,Desconocido,Álvaro Obregón,11
12,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de las Águilas,820,Esq. Rómulo O'Farril,Ampl.Las Águilas,1710,Desconocido,Álvaro Obregón,12
13,TIENDAS DE AUTOSERVICIO,MEGA COMERCIAL MEXICANA S.A DE C.V.,Av. de las Torres,446,Entre Prol. Sn. Pedro Prol. Sn Pablo,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,13
14,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Sn. Jerónimo,630,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,14
15,CENTRO COMERCIAL,CENTRO COMERCIAL PED STA. TERESA,Periférico Sur Caseta,4020,Por Camino a  Sta. Teresa,Residencial Pedregal,1990,Desconocido,Álvaro Obregón,15
16,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Sn. Jerónimo Lidice,630,Esq. Periférico,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,16
17,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Centenario,394,5 de Mayo,Merced Gómez,1600,Plaza Comercial,Álvaro Obregón,17
18,CENTRO COMERCIAL,CENTRO COMERCIAL SAN JERONIMO,Periférico Sur,Desconocido,Esq. San Jerómino,Pedregal de San Angel,Desconocido,Desconocido,Álvaro Obregón,18
19,TIENDAS DEPARTAMENTALES,LIVERPOOL,Camino Real a Toluca,140,entre Jilguero y Av. Jardín,2A SECCION AMPLIACION DE BOSQUES,1140,Desconocido,Álvaro Obregón,19
20,TIENDAS DE AUTOSERVICIO,ISSSTE FARMACIA,Sur 110,S/N,F. Angeles y Camin,BELLAVISTA,1140,Desconocido,Álvaro Obregón,20
21,TIENDAS DE AUTOSERVICIO,COSCO,Boulevard Adolfo López Mateos,1135,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,1280,Desconocido,Álvaro Obregón,21
22,TIENDAS DE AUTOSERVICIO,SPORT CITY,Boulevard Adolfo López Mateos,1145,Calle 10 y calle 16,SAN PEDRO DE LOS PINOS,1280,Desconocido,Álvaro Obregón,22
23,CENTRO COMERCIAL,Grupo Sordo,Periférico,3025,Desconocido,Pedregal de San Angel,Desconocido,Desconocido,Álvaro Obregón,23
24,CENTRO Y PLAZA COMERCIAL,Terraza Pedregal,Blvd Adolfo López Mateos,4132,Desconocido,Jardines deL Pedregal,1900,Desconocido,Álvaro Obregón,24
25,CENTRO Y PLAZA COMERCIAL,Grand Pedregal,De Las Fuentes,556,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,25
26,CENTRO Y PLAZA COMERCIAL,JOLIE,De Las Fuentes,425,Desconocido,Jardines del Pedregal,1900,Desconocido,Álvaro Obregón,26
27,CENTRO Y PLAZA COMERCIAL,Plaza Bazar,Periferico Sur,2930,Desconocido,Tizapan San Angel,1090,Desconocido,Álvaro Obregón,27
28,CENTRO Y PLAZA COMERCIAL,Plaza Escenaria,San Jeronimo,263,Desconocido,Tizapan San Angel,1090,Desconocido,Álvaro Obregón,28
29,CENTRO Y PLAZA COMERCIAL,Patio Revolución,C del Ayuntamiento,3,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,29
30,CENTRO Y PLAZA COMERCIAL,Plaza Grand San Angel,C de la Amargura,17,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,30
31,CENTRO Y PLAZA COMERCIAL,Plaza del Carmen,Av de la Paz,57,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,31
32,CENTRO Y PLAZA COMERCIAL,Plaza Versalles,Av de la Paz,39,Desconocido,San Angel,1000,Desconocido,Álvaro Obregón,32
33,CENTRO Y PLAZA COMERCIAL,Plaza,Insurgentes Sur,1787,Desconocido,Guadalupe Inn,1020,Desconocido,Álvaro Obregón,33
34,CENTRO Y PLAZA COMERCIAL,Portal San Angel,Revolucion,1267,Desconocido,Guadalupe Inn,1267,Desconocido,Álvaro Obregón,34
35,CENTRO Y PLAZA COMERCIAL,Plaza San Angel,Altavista,125,Desconocido,San Angel Inn,1060,Desconocido,Álvaro Obregón,35
36,CENTRO Y PLAZA COMERCIAL,Plaza,Av Toluca,215,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,36
37,CENTRO Y PLAZA COMERCIAL,Plaza Olivar 481,Av Toluca,479,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,37
38,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS,Av Toluca,511,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,38
39,CENTRO Y PLAZA COMERCIAL,La Plaza,AV. TOLUCA,571,Desconocido,Desconocido,1780,Desconocido,Álvaro Obregón,39
40,CENTRO Y PLAZA COMERCIAL,Square Plaza,Av Toluca,585,Desconocido,Olivar de los Padres,1780,Desconocido,Álvaro Obregón,40
41,CENTRO Y PLAZA COMERCIAL,Plaza Torres de Potrero,Alta tension,71,Desconocido,Torres de Potrero,1840,Desconocido,Álvaro Obregón,41
42,CENTRO Y PLAZA COMERCIAL,Plaza Axiomiatla,Calz de las Aguilas,1952,Desconocido,Lomas de Axiomatla,1820,Desconocido,Álvaro Obregón,42
43,CENTRO Y PLAZA COMERCIAL,Grand San Francisco,Desierto de los Leones,5525,Desconocido,Alcatarilla,1729,Desconocido,Álvaro Obregón,43
44,CENTRO Y PLAZA COMERCIAL,Plaza,Olivar de los Padres,1086,Desconocido,San Jose del Olivar,1770,Desconocido,Álvaro Obregón,44
45,CENTRO Y PLAZA COMERCIAL,Plaza Punta las Aguilas,Calz de las Aguilas,1289,Desconocido,Puente Colorado,1289,Desconocido,Álvaro Obregón,45
46,TIENDAS DE AUTOSERVICIO,Bodega Aurrera Express,Calz de las Aguilas,1258,Desconocido,Puente Colorado,1730,Desconocido,Álvaro Obregón,46
47,CENTRO Y PLAZA COMERCIAL,Aguilas once 68,Calz Aguilas,1168,Desconocido,San Clemente,1740,Desconocido,Álvaro Obregón,47
48,CENTRO Y PLAZA COMERCIAL,Mini Mall,Calz de las Aguilas,807,Desconocido,1 secc la Aguilas,1710,Desconocido,Álvaro Obregón,48
49,CENTRO Y PLAZA COMERCIAL,Plaza Atlamaya,Blvd Adolfo Lopez Mateos,2433,Desconocido,Atlamaya,1760,Desconocido,Álvaro Obregón,49
50,CENTRO Y PLAZA COMERCIAL,Plaza Tlamaya,Altavista,147,Desconocido,San Anguel Inn,1060,Desconocido,Álvaro Obregón,50
51,TIENDAS DEPARTAMENTALES,TOKS y Office Depot,Manuel Gutierrez Zamora,2,Desconocido,Las aguilas,1710,Desconocido,Álvaro Obregón,51
52,CENTRO Y PLAZA COMERCIAL,Plaza las Aguilas,Calz de los Leones,145,Desconocido,Aguilas,1710,Desconocido,Álvaro Obregón,52
53,CENTRO Y PLAZA COMERCIAL,Plaza,Prol 5 de Mayo,3121,Desconocido,Desconocido,1618,Desconocido,Álvaro Obregón,53
54,CENTRO Y PLAZA COMERCIAL,Supercito Chedraui Santa Lucia,Santa Lucia,343,Desconocido,Olivar de Conde 1 secc,1480,Desconocido,Álvaro Obregón,54
55,CENTRO Y PLAZA COMERCIAL,Mercado Olivar de Conde,Erneto Uruchurtu,Desconocido,Desconocido,Olivar del Conde 2 sec,1400,Desconocido,Álvaro Obregón,55
56,CENTRO Y PLAZA COMERCIAL,Plaza de las Rosas,Santa Lucia,810,Desconocido,Olivar de Conde 1 Secc,1400,Desconocido,Álvaro Obregón,56
57,TIENDAS DEPARTAMENTALES,Elektra Santa Lucia,Santa Lucia,816,Desconocido,Olivar del Conde 1 secc,1400,Desconocido,Álvaro Obregón,57
58,CENTRO Y PLAZA COMERCIAL,Plaza Exhibimex,Calle 10,132,Desconocido,Tolteca,1180,Desconocido,Álvaro Obregón,58
59,CENTRO Y PLAZA COMERCIAL,Plaza Canario,Canario,166,Desconocido,Tolteca,1150,Desconocido,Álvaro Obregón,59
60,CENTRO Y PLAZA COMERCIAL,PLAZA OBSERVATORIO,AV OBSERVATORIO,457,Desconocido,HIDALGO,1120,Desconocido,Álvaro Obregón,60
61,TIENDAS DE AUTOSERVICIO,Desconocido,Vasco de Quiroga,Desconocido,Desconocido,Santa Fé,1210,Desconocido,Álvaro Obregón,61
62,TIENDAS DEPARTAMENTALES,ELEKTRA,Vasco de Quiroga,1504,Desconocido,Santa Fé,1210,Desconocido,Álvaro Obregón,62
63,CENTRO Y PLAZA COMERCIAL,PLAZA,VASCO DE QUIROGA,1504,Desconocido,LA MEXICANA,1260,Desconocido,Álvaro Obregón,63
64,CENTRO Y PLAZA COMERCIAL,PLAZA,VASCO DE QUIROGA,1494,Desconocido,SANTA FE,1210,Desconocido,Álvaro Obregón,64
65,TIENDAS DEPARTAMENTALES,COPPEL,VASCO DE QUIROGA,1391,Desconocido,SANTA FE,1391,Desconocido,Álvaro Obregón,65
66,TIENDAS DEPARTAMENTALES,COPPEL,VASCO DE QUIROGA,1651,Desconocido,SANTA FE,1210,Desconocido,Álvaro Obregón,66
67,CENTRO Y PLAZA COMERCIAL,PATIO Santa Fe,Prol Paseo de la Reforma,400,Desconocido,Santa Fe ZEDEC,1210,Desconocido,Álvaro Obregón,67
68,MIXTO,The point,Prol Paseo de la Reforma,413,Desconocido,Lomas de Santa Fe ZEDEC,1219,Desconocido,Álvaro Obregón,68
69,CENTRO Y PLAZA COMERCIAL,Plaza Samara,Antonio Dovali Jaime,70,Desconocido,ZEDEC SANTA FE,1260,Desconocido,Álvaro Obregón,69
70,CENTRO Y PLAZA COMERCIAL,PARK PLAZA,JAVIER BARROS SIERRA,540,Desconocido,ZEDEC SANTA FE,1219,Desconocido,Álvaro Obregón,70
71,CENTRO Y PLAZA COMERCIAL,GARDEN SANTA FE,GUILLERMO GONZALEZ CAMARENA,1205,Desconocido,ZEDEC SANAT FE,1219,Desconocido,Álvaro Obregón,71
72,TIENDAS DE AUTOSERVICIO,Bodega Aurrera Express,Tamaulipas,1320,Desconocido,Santa Lucia,1500,Desconocido,Álvaro Obregón,72
73,TIENDAS DE AUTOSERVICIO,Soriana,Tamaulipas,1236,Desconocido,Garcimarrero,1510,Desconocido,Álvaro Obregón,73
74,TIENDAS DE AUTOSERVICIO,Bodega Aurrera Express,Vasco de Quiroga,1742,Desconocido,2 ampliacion de Piru,1230,Desconocido,Álvaro Obregón,74
75,TIENDAS DE AUTOSERVICIO,COPPEL,Ernesto P. Uruchurtu,103,Desconocido,Olivar del Conde,1400,Desconocido,Álvaro Obregón,75
76,TIENDAS DE AUTOSERVICIO,Zorro Abarrotero,Alta Tension,88,Desconocido,Molino de Rosas,1470,Desconocido,Álvaro Obregón,76
77,CENTRO Y PLAZA COMERCIAL,Pasaje Santa Fe,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,77
78,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,78
79,CENTRO Y PLAZA COMERCIAL,PLAZA LA ALCANTARILLA,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,79
80,CENTRO Y PLAZA COMERCIAL,Plaza Olivar de los Padres,AV TOLUCA,730,Desconocido,Desconocido,1780,Desconocido,Álvaro Obregón,80
81,TIENDAS DE AUTOSERVICIO,Bodega Aurrera Express,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,81
82,TIENDAS DEPARTAMENTALES,Elektra,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,82
83,TIENDAS DE AUTOSERVICIO,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,83
84,CENTRO Y PLAZA COMERCIAL,Pedregal,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Álvaro Obregón,84
85,CENTRO COMERCIAL,CONDOMINOS DEL  LUIS CABRERA AC.,Contreras,386,Esq. Periférico,Sn. Jerónimo Aculco,10400,Desconocido,Magdalena Contreras,85
86,CENTRO Y PLAZA COMERCIAL,Desconocido,San Jeronimo,132,Desconocido,San Jeronimo Lidice,10200,Desconocido,Magdalena Contreras,86
87,CENTRO Y PLAZA COMERCIAL,Operadora de Negocios CCV,Alvaro Obregon,1415,Desconocido,La Cruz,10800,Desconocido,Magdalena Contreras,87
88,CENTRO Y PLAZA COMERCIAL,Desconocido,Alvaro Obregon,7,Desconocido,Desconocido,10300,Desconocido,Magdalena Contreras,88
89,CENTRO Y PLAZA COMERCIAL,Desconocido,Blvd. Adolfo Lopez Mateos,38,Desconocido,Desconocido,Desconocido,Desconocido,Magdalena Contreras,89
90,CENTRO Y PLAZA COMERCIAL,Pasaje San Jeronimo,San Jeronimo,819,Desconocido,Puente Sierra,10110,Desconocido,Magdalena Contreras,90
91,CENTRO Y PLAZA COMERCIAL,Vips San Jeronimo,AV CONTRERAS,32, ESQ AV SAN JERONIMO,Desconocido,10200,Desconocido,Magdalena Contreras,91
92,CENTRO Y PLAZA COMERCIAL,Plaza Altamira,San Bernabe,327,Desconocido,Desconocido,10200,Desconocido,Magdalena Contreras,92
93,CENTRO Y PLAZA COMERCIAL,PLAZA LA CRUZ,Av Mexico,1385,Desconocido,La Cruz,10800,Desconocido,Magdalena Contreras,93
94,TIENDAS DE AUTOSERVICIO,Desconocido,AV. SAN BERNABE,998,Desconocido,Desconocido,10010,Desconocido,Magdalena Contreras,94
95,CENTRO Y PLAZA COMERCIAL,PLAZA MAGDALENA,PRESA,254 local A,Desconocido,Desconocido,10100,Desconocido,Magdalena Contreras,95
96,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Calz. México-Xochimilco,5713,Entre Antiguo Camino a Xochimilco y El Sauz,La Noria,16030,NO ES TIENDA DE AUTOSERVICIO,Xochimilco,96
97,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Guadalupe Ramírez,318,Esq. Prol. División del Norte,Tepepan Sn. Marcos,16020,Desconocido,Xochimilco,97
98,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Prol. Div. del Norte,5333,Esq. Av. Guadalupe I. Ramírez,Potreros de Sn. Bernandino,16030,Desconocido,Xochimilco,98
99,TIENDAS DE AUTOSERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Calle Pino,66,Esq. Calle Hidalgo,Barrio la Guadalupita,16070,Desconocido,Xochimilco,99
100,CENTRO COMERCIAL,CORPORACION XOCHIMILCO S.A. DE C.V.,Redención 150,104,Desconocido,Residencial Xochimilco,16200,Desconocido,Xochimilco,100
101,CENTRO Y PLAZA COMERCIAL,PLAZA VICARO,AV. SAN PEDRO ATOCPAN,196,Desconocido,SAN GREGORIO ATLAPULCO,16600,Desconocido,Xochimilco,101
102,CENTRO Y PLAZA COMERCIAL,PLAZA MANANTIALES,CAMINO A NATIVITAS,35,Desconocido,XALTOCAN,16090,Desconocido,Xochimilco,102
103,CENTRO Y PLAZA COMERCIAL,PLAZA S/N,AQUILES SERDAN,45,Desconocido,SANTIAGO TEPALTLALPAN,16200,PLAZA LOCAL,Xochimilco,103
104,CENTRO Y PLAZA COMERCIAL,PLAZA CUAUHTÉMOC,AV. CUAUHTÉMOC,48,Desconocido,SAN PEDRO,16090,PLAZA LOCAL,Xochimilco,104
105,TIENDAS DEPARTAMENTALES,ELEKTRA,AV. MORELOS,90,Desconocido,LOS MORELES,16060,Desconocido,Xochimilco,105
106,CENTRO Y PLAZA COMERCIAL,PLAZA LOS ANGELES,VIOLETA,65,Desconocido,SANTA CRUCITA,16070,PLAZA LOCAL,Xochimilco,106
107,CENTRO Y PLAZA COMERCIAL,PLAZA NUEVO LEÓN,AV. NUEVO LEÓN,19,Desconocido,SANTA CRUCITA,16070,PLAZA LOCAL,Xochimilco,107
108,TIENDAS DE AUTOSERVICIO,CHEDRAUI,CAMINO A SANTIAGO TEPALCATLALPAN,400,Desconocido,SANTIAGO TEPALCATLALPAN,16210,Desconocido,Xochimilco,108
109,CENTRO Y PLAZA COMERCIAL,PLAZA TEPEPAN,AV. GUADALUPE I RAMÍREZ,741,Desconocido,SANTA MARÍA TEPEPAN,16020,PLAZA LOCAL,Xochimilco,109
110,TIENDAS DE AUTOSERVICIO,BODEGA AURRERA EXPRES,AV. PROL. DIVISIÓN DEL NORTE,4942,Desconocido,SAN LORENZO LA SEBADA,16001,Desconocido,Xochimilco,110
111,CENTRO Y PLAZA COMERCIAL,PLAZA VAQUERITOS,AV. PROL. DIVISIÓN DEL NORTE,4901,Desconocido,SAN LORENZO LA SEBADA,16035,Desconocido,Xochimilco,111
112,CENTRO Y PLAZA COMERCIAL,PLAZAS ARENAL,ARENAL,651,Desconocido,SANTA MARIA TEPEPAN,16020,Desconocido,Xochimilco,112
113,CENTRO Y PLAZA COMERCIAL,PLAZA ARENAL,ARENAL,842,Desconocido,SANTA MARÍA TEPEPAN,16020,Desconocido,Xochimilco,113
114,TIENDAS DE AUTOSERVICIO,CHEDRAUI,AV. AQUILES SERDAN,360,Desconocido,EL MIRADOR,16740,Desconocido,Xochimilco,114
115,TIENDAS DEPARTAMENTALES,ELEKTRA,JOSÉ MARÍA MORELOS,85,Desconocido,TENANTITLA,12100,Desconocido,Milpa Alta,115
116,CENTRO Y PLAZA COMERCIAL,PLAZA S/N,GUADALUPE VICTORIA SUR,27,Desconocido,TENANTITLA,12100,PLAZA LOCAL,Milpa Alta,116
117,TIENDAS DEPARTAMENTALES,VIANA,Av. Tláhuac,6020,Esq. Manuel M. López,Lomas de Sn. Lorenzo,9780,NO ES TIENDA DEPARTEMENTAL,Tlahuac,117
118,TIENDAS DEPARTAMENTALES,ELEKTRA,CALZ. TLAHUAC TULYEHUALCO,4925,Desconocido,SAN ISIDRO,13093,Desconocido,Tlahuac,118
119,TIENDAS DEPARTAMENTALES,COPPEL,CALZ. TLAHUAC TULYEHUALCO,4901,Desconocido,SAN ISIDRO,13094,Desconocido,Tlahuac,119
120,TIENDAS DE AUTOSERVICIO,BODEGA AURRERA EXPRES,CALZ. TLAHUAC TULYEHUALCO,S/N,Desconocido,LOS REYES,13080,Desconocido,Tlahuac,120
121,TIENDAS DEPARTAMENTALES,ELEKTRA,AV. TLAHUAC,17,Desconocido,LOS REYES,13080,Desconocido,Tlahuac,121
122,TIENDAS DE AUTOSERVICIO,BODEGA AURRERA EXPRES,MONTES CÁRPATOS,355,Desconocido,AMPLEACIÓN SELENE,13420,Desconocido,Tlahuac,122
123,CENTRO Y PLAZA COMERCIAL,PLAZA ZAPOTITLAN DT,AV TLÁHUAC,5856,Desconocido,SANTA ANA PONIENTE,13300,Desconocido,Tlahuac,123
124,TIENDAS DEPARTAMENTALES,ELEKTRA,AV. TLÁHUAC,5824,Desconocido,SANTA ANA PONIENTE,13300,Desconocido,Tlahuac,124
125,TIENDAS DEPARTAMENTALES,ELEKTRA,AV. TLÁHUAC,5988,Desconocido,LOS OLIVOS,13210,Desconocido,Tlahuac,125
126,TIENDAS DEPARTAMENTALES,COPPEL,AV. TLÁHUAC,5504,Desconocido,LOS OLIVOS,13210,Desconocido,Tlahuac,126
127,CENTRO Y PLAZA COMERCIAL,PLAZA TLÁHUAC,AV. TLÁHUAC,5295,Desconocido,LOS OLIVOS,13210,Desconocido,Tlahuac,127
128,TIENDAS DEPARTAMENTALES,COPPEL,RAFAEL CASTILLO,24,Desconocido,LA HABANA,13050,Desconocido,Tlahuac,128
129,TIENDAS DEPARTAMENTALES,BODEGA AURRERA EXPRES,CALZ. TLÁHUAC CHALCO,S/N,Desconocido,LA HABANA,13070,Desconocido,Tlahuac,129
130,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Perpetua,35,Esq. Insurgentes,Sn. José Insurgentes,3900,Desconocido,Benito Juárez,130
131,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Dr. Vertiz,543,Esq. Obrero Mundial,Narvarte,3020,Desconocido,Benito Juárez,131
132,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Xola,1856,Desconocido,Narvarte,3020,Desconocido,Benito Juárez,132
133,TIENDAS DE AUTOSERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Av. Cuauhtémoc,607,Esq. Xola,Narvarte,3020,Desconocido,Benito Juárez,133
134,PLAZAS COMERCIALES,Desconocido,Av. Universidad,1000,Esq. Parroquia,Sta. Cruz Atoyac,3100,Desconocido,Benito Juárez,134
135,CENTRO COMERCIAL,Desconocido,Av. Insurgentes Sur,1320,Entre Recreo y Parroquia,Del Valle,3100,Desconocido,Benito Juárez,135
136,TIENDAS DE AUTOSERVICIO,Super  G,Av. Eugenia,901,Esq. Gabriel Mancera,Del Valle,3100,Desconocido,Benito Juárez,136
137,TIENDAS DE AUTOSERVICIO,"UNIDAD COMERCIAL DE TODO, S.A.",Av. Félix  Cuevas,1621,Esq. Sn. Fracisco,Del Valle,3100,Desconocido,Benito Juárez,137
138,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA,S.A. DE C.V.",Heriberto Frias,1102,Esq. Diagonal San Antonio,Del Valle,3100,Desconocido,Benito Juárez,138
139,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Av. Coyoacán,521,Entre Torres Adalid y Av. del Valle,Del Valle,3100,Desconocido,Benito Juárez,139
140,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Adolfo Prieto,202,Esq. Xola,Del Valle,3100,Desconocido,Benito Juárez,140
141,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,1266,Esq. Félix Cuevas,Actipan,3230,Desconocido,Benito Juárez,141
142,TIENDAS DE AUTOSERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Insurgentes Sur,1288,Entre Félix Cuevas y Durazno,Tlacoquemecatl,3200,Desconocido,Benito Juárez,142
143,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Parroquia,1000,Esq. Universidad,Sta. Cruz Atoyac,3310,Desconocido,Benito Juárez,143
144,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Div. del Norte,Desconocido,Esq. Cuauhtémoc,Narvarte,3220,Desconocido,Benito Juárez,144
145,TIENDAS DEPARTAMENTALES,PUERTO DE LIVERPOOL,Av. Insurgentes Sur,1310,Entre Felix Cuevas y Oso,Del Valle,3100,Desconocido,Benito Juárez,145
146,CENTRO COMERCIAL,CENTRO  COMERCIAL TRICO,Rodriguez Saro,303-C,Esq. Moras,Acacias,3240,Desconocido,Benito Juárez,146
147,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Prol. Tajin,1000,Desconocido,Emperadores,3320,Desconocido,Benito Juárez,147
148,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Ermita,1897,Esq. Av. Plutarco Elías Calles,Benjidal,9450,Desconocido,Benito Juárez,148
149,TIENDAS DE AUTOSERVICIO,Mega Soriana,Municipio Libre,134,Enfrente del Parque de los Venados,Emperadores,3320,Desconocido,Benito Juárez,149
150,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Pilares,541,Entre Heriberto Frías y José Enrique Pestalozzi,Del Valle,3310,Desconocido,Benito Juárez,150
151,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Av. Universidad,936-A,Esq. Parroquia,Sta. Cruz Atoyac,3310,Desconocido,Benito Juárez,151
152,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Universidad,1000,Esq. Parroquia,Sta. Cruz Atoyac,3310,Desconocido,Benito Juárez,152
153,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Coyoacán,1209,Esq. Churubusco,Xoco,3330,Desconocido,Benito Juárez,153
154,TIENDAS DEPARTAMENTALES,SEARS,Av. Universidad,1000,Entre José María Rico y Parroquia,Sta. Cruz Atoyac,3310,Desconocido,Benito Juárez,154
155,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de Tlalpan,1037,Entre Av. Lago Poniente y Privada Lago,Lago,3640,WALMART,Benito Juárez,155
156,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Holbein,230,Entre Indiana y Eje 6,Cd. de lo Deportes,3710,Desconocido,Benito Juárez,156
157,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,882,Desconocido,Del Valle,3100,Desconocido,Benito Juárez,157
158,TIENDAS DEPARTAMENTALES,VIANA,Av. Sn. Antonio,70,Esq. Viaducto Río Becerra,Nápoles,3810,Desconocido,Benito Juárez,158
159,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Damas,S/N,Esq. Mercaderes,Sn. José Insurgentes,3900,Desconocido,Benito Juárez,159
160,CENTRO COMERCIAL,CENTRO COMERCIAL TRICO SN. JERÓNIMO,Av. Revolucion,1145,Entre Alconedo y Tinoco,Mixcoac,3910,Desconocido,Benito Juárez,160
161,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Miguel Angel,170,Entre Sn. Antonio y Revolución,Mixcoac,3910,Desconocido,Benito Juárez,161
