,Direccion,CP,Tipo,Nombre_App,Alcaldia,Tipo_conector,Potencia_kW,Marca,Cargadores_Alcaldia,Cargadores_en_electrolinera,electrolineras_alcaldia,Cargadores_instalados_por_conector,cargadores_electrolinera_prom
137,1365 Eje Vial 4 Oriente 09410,9410,Hotel,Fiesta Inn Plaza Central Aeropuerto,Iztapalapa,TYPE 1 (SAE J1772),6.0,Desconocido,8,3,5,69,1.6
138,7 Calle Paradero 09819,9819,Concensionario,Nissan oriente,Iztapalapa,TYPE 1 (SAE J1772),6.0,Nissan,8,1,5,69,1.6
139,209 Calzada Ignacio Zaragoza 09208,9208,Concensionario,Nissan Zaragoza,Iztapalapa,TYPE 1 (SAE J1772),6.6,Nissan,8,1,5,69,1.6
140,"C. Egipto 121, Claveria,  02080",2080,Centro Comercial,Patio Clavería,Azcapotzalco,TYPE 1 (SAE J1772),7.4,Desconocido,3,2,2,69,1.5
141,"C. Egipto 121, Claveria,  02080",2080,Centro Comercial,Patio Clavería,Azcapotzalco,Tesla Dest.Charger,7.4,Desconocido,3,2,2,40,1.5
142,350C Avenida Marina Nacional 11320,11320,Superficie,CFE Marina,Miguel Hidalgo,TYPE 2,18.0,CFE,20,1,8,9,2.5
143,341 Calzada Vallejo 07780,7780,Concensionario,CFE,Gustavo A. Madero,TYPE 1 (SAE J1772),7.4,CFE,2,1,2,69,1.0
144,2003 Avenida Instituto Politécnico Nacional 07300,7300,Concensionario,kioto Nissan,Gustavo A. Madero,TYPE 1 (SAE J1772),4.2,Nissan,2,1,2,69,1.0
145,2615 Calzada de Tlalpan 04610,4610,Estacionamiento,E•DRIVE,Coyoacán,TYPE 1 (SAE J1772),7.0,Desconocido,10,1,7,69,1.4
146,5392 Avenida Tlahuac 13210,13210,Concensionario,Nissan imperio,Tláhuac,TYPE 1 (SAE J1772),6.6,Nissan,1,1,1,69,1.0
147,661B Calzada del Hueso 14324,14324,Concensionario,Nissan del hueso,Coyoacán,TYPE 1 (SAE J1772),6.0,Nissan,10,1,7,69,1.4
148,524 Calzada del Hueso 04920,4920,Concensionario,BMW calza el hueso,Coyoacán,TYPE 1 (SAE J1772),3.0,BMW,10,1,7,69,1.4
149,973 Calzada del Hueso 14330,14330,Concensionario,Mercedes Benz Coapa,Tlalpan,TYPE 1 (SAE J1772),6.0,Mercedes Benz,12,2,6,69,2.0
150,973 Calzada del Hueso 14330,14330,Concensionario,Mercedes Benz Coapa,Tlalpan,TYPE 1 (SAE J1772),6.0,Mercedes Benz,12,2,6,69,2.0
151,420 Calzada Vallejo 02300,2300,Concensionario,bmw,Azcapotzalco,TYPE 2,22.0,BMW,3,1,2,9,1.5
152,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,TYPE 1 (SAE J1772),6.0,Desconocido,51,6,19,69,2.7
153,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,TYPE 1 (SAE J1772),6.0,Desconocido,51,6,19,69,2.7
154,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,CHAdeMO,22.0,Desconocido,51,6,19,6,2.7
155,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,CCS2,50.0,Desconocido,51,6,19,8,2.7
156,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,NEMA 14-50,7.0,Desconocido,51,6,19,4,2.7
157,1139 Viaducto 03100,3100,Superficie,300 Av. Division del Nte,Benito Juárez,NEMA 5-20 (US Plug),0.0,Desconocido,51,6,19,2,2.7
